,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Language spoken most often at home,          Sign languages; n.i.e,,0,,0,,0,,1190,,710,,480,
Language spoken most often at home,        Sino-Tibetan languages,,570,,225,,345,,385150,,180140,,205005,
Language spoken most often at home,          Chinese languages,,570,,225,,345,,380550,,177880,,202675,
Language spoken most often at home,            Cantonese,,165,,70,,95,,182755,,84030,,98725,
Language spoken most often at home,            Hakka,,0,,0,,0,,2725,,1240,,1490,
Language spoken most often at home,            Mandarin,,375,,140,,235,,179665,,85535,,94135,
Language spoken most often at home,            Min Dong,,0,,0,,0,,240,,105,,135,
Language spoken most often at home,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,5,,0,,10,,5065,,2315,,2745,
Language spoken most often at home,            Wu (Shanghainese),,10,,5,,5,,3130,,1465,,1665,
Language spoken most often at home,            Chinese; n.o.s.,,15,,10,,5,,6890,,3155,,3735,
Language spoken most often at home,            Chinese languages; n.i.e.,,0,,0,,0,,85,,35,,50,
Language spoken most often at home,          Tibeto-Burman languages,,0,,0,,0,,4595,,2265,,2330,
Language spoken most often at home,            Burmese,,0,,0,,0,,575,,260,,310,
Language spoken most often at home,            Karenic languages,,0,,0,,0,,215,,105,,110,
Language spoken most often at home,            Tibetan,,0,,0,,0,,3705,,1845,,1860,
Language spoken most often at home,            Tibeto-Burman languages; n.i.e.,,0,,0,,0,,100,,55,,50,
Language spoken most often at home,        Tai-Kadai languages,,0,,0,,0,,1635,,765,,865,
Language spoken most often at home,          Lao,,0,,0,,0,,1050,,505,,540,
Language spoken most often at home,          Thai,,0,,0,,0,,575,,255,,320,
Language spoken most often at home,          Tai-Kadai languages; n.i.e,,0,,0,,0,,10,,5,,5,
Language spoken most often at home,        Turkic languages,,25,,15,,15,,9495,,4755,,4740,
Language spoken most often at home,          Azerbaijani,,0,,0,,0,,645,,325,,320,
Language spoken most often at home,          Turkish,,30,,10,,15,,8155,,4070,,4090,
Language spoken most often at home,          Uyghur,,0,,0,,0,,225,,120,,105,
Language spoken most often at home,          Uzbek,,0,,0,,0,,315,,165,,145,
Language spoken most often at home,          Turkic languages; n.i.e.,,0,,0,,0,,150,,70,,80,
Language spoken most often at home,        Uralic languages,,10,,5,,0,,9040,,4135,,4900,
Language spoken most often at home,          Estonian,,0,,0,,0,,650,,240,,410,
Language spoken most often at home,          Finnish,,5,,5,,0,,510,,220,,290,
Language spoken most often at home,          Hungarian,,5,,5,,5,,7875,,3680,,4200,
Language spoken most often at home,          Uralic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Other languages; n.i.e.,,0,,0,,0,,320,,165,,155,
Language spoken most often at home,  Multiple responses,,600,,280,,320,,561765,,270615,,291155,
Language spoken most often at home,    English and French,,55,,30,,25,,13015,,5965,,7055,
Language spoken most often at home,    English and non-official language,,525,,240,,285,,535630,,258900,,276730,
Language spoken most often at home,    French and non-official language,,5,,0,,0,,2390,,1055,,1340,
Language spoken most often at home,    English; French and non-official language,,15,,10,,10,,10730,,4700,,6035,
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,20,17455,,8995,,8455,,5883670,,2858785,,3024885,
Other language spoken regularly at home,  None,,13720,,7200,,6515,,4489770,,2189920,,2299850,
Other language spoken regularly at home,  English,,805,,375,,430,,594565,,291580,,302985,
Other language spoken regularly at home,  French,,305,,155,,145,,52850,,22910,,29940,
Other language spoken regularly at home,  Non-official language,,2525,,1205,,1315,,720320,,342165,,378160,
Other language spoken regularly at home,    Aboriginal,,0,,0,,0,,480,,205,,275,
Other language spoken regularly at home,    Non-Aboriginal,,2525,,1210,,1315,,719840,,341955,,377885,
Other language spoken regularly at home,  English and French,,10,,5,,5,,4015,,1855,,2165,
Other language spoken regularly at home,  English and non-official language,,15,,5,,10,,13540,,6615,,6925,
Other language spoken regularly at home,  French and non-official language,,75,,40,,35,,8355,,3630,,4730,
Other language spoken regularly at home,  English; French and non-official language,,0,,0,,0,,255,,120,,135,
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,21,16935,,8715,,8215,,4879095,,2345200,,2533895,
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,,16660,,8620,,8040,,4631950,,2227300,,2404650,
Income of individuals in 2015,    Median total income in 2015 among recipients ($),,60626,,66835,,54121,,31705,,36559,,28070,
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,,16665,,8620,,8040,,4632745,,2227500,,2405245,
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),,51177,,55770,,46315,,29242,,33167,,26233,
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,,15955,,8260,,7700,,4084930,,2011885,,2073045,
Income of individuals in 2015,    Median market income in 2015 among recipients ($),,62550,,68646,,55680,,32705,,38299,,28006,
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,,8250,,3985,,4270,,3323485,,1463175,,1860305,
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),,404,,391,,412,,2205,,1016,,3814,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,,15030,,7795,,7235,,3454585,,1751255,,1703330,
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),,62272,,68032,,55694,,34838,,39549,,30701,
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,22,16935,,8715,,8215,,4879095,,2345190,,2533905,
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,,16655,,8630,,8025,,4632420,,2227415,,2405000,
Income of individuals in 2015,    Average total income in 2015 among recipients ($),,79745,,93620,,64837,,50479,,60343,,41343,
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,16655,,8630,,8030,,4633195,,2227640,,2405550,
Income of individuals in 2015,    Average after-tax income in 2015 among recipients ($),,59842,,68018,,51058,,40565,,47026,,34582,
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 25% sample data,,15970,,8240,,7730,,4085085,,2011905,,2073175,
Income of individuals in 2015,    Average market income in 2015 among recipients ($),,82144,,97162,,66133,,52042,,62785,,41617,
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,,8185,,4000,,4185,,3323000,,1463150,,1859850,
Income of individuals in 2015,    Average government transfers in 2015 among recipients ($),,2005,,1745,,2254,,6392,,5530,,7071,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,,15035,,7820,,7210,,3454590,,1751680,,1702905,
Income of individuals in 2015,    Average employment income in 2015 among recipients ($),,80294,,94141,,65277,,51801,,61164,,42171,
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,23,16935,,8715,,8220,,4879095,,2345195,,2533900,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,24,9420,,5110,,4315,,1645880,,909065,,736815,
Income of individuals in 2015,    Median employment income in 2015 for full-year full-time workers ($),25,72246,,78328,,67547,,56454,,60974,,51880,
Income of individuals in 2015,    Average employment income in 2015 for full-year full-time workers ($),26,93452,,105958,,78632,,74722,,84091,,63161,
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,27,100,,100,,100,,100,,100,,100,
Income of individuals in 2015,  Market income (%),28,98.8,,99.2,,98.2,,90.9,,93.9,,86.8,
Income of individuals in 2015,    Employment income (%),29,86.5,,83.9,,90.9,,76.5,,79.7,,72.1,
Income of individuals in 2015,  Government transfers (%),30,1.2,,0.8,,1.8,,9.1,,6.1,,13.2,
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,31,16940,,8715,,8215,,4879095,,2345195,,2533895,
Income of individuals in 2015,  Without total income,,275,,100,,175,,247145,,117900,,129245,
Income of individuals in 2015,  With total income,,16660,,8620,,8040,,4631950,,2227295,,2404655,
Income of individuals in 2015,  Percentage with total income,,98.3,,98.9,,97.9,,94.9,,95,,94.9,
Income of individuals in 2015,    Under $10;000 (including loss),,1855,,870,,985,,816625,,368835,,447795,
Income of individuals in 2015,    $10;000 to $19;999,,1370,,610,,755,,824160,,348745,,475420,
Income of individuals in 2015,    $20;000 to $29;999,,1120,,515,,610,,589070,,254985,,334085,
Income of individuals in 2015,    $30;000 to $39;999,,1230,,590,,640,,463975,,209685,,254290,
Income of individuals in 2015,    $40;000 to $49;999,,1335,,610,,725,,407495,,189100,,218390,
Income of individuals in 2015,    $50;000 to $59;999,,1320,,630,,690,,325105,,158480,,166620,
Income of individuals in 2015,    $60;000 to $69;999,,1425,,710,,720,,258085,,134225,,123855,
Income of individuals in 2015,    $70;000 to $79;999,,1275,,585,,695,,203100,,111065,,92035,
Income of individuals in 2015,    $80;000 to $89;999,,1060,,560,,495,,161920,,90560,,71355,
Income of individuals in 2015,    $90;000 to $99;999,,885,,480,,405,,137570,,73985,,63585,
Income of individuals in 2015,    $100;000 and over,,3780,,2465,,1320,,444845,,287620,,157225,
Income of individuals in 2015,      $100;000 to $149;999,,2130,,1285,,840,,272905,,168210,,104700,
Income of individuals in 2015,      $150;000 and over,,1650,,1175,,475,,171935,,119415,,52525,
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,32,16935,,8720,,8220,,4879095,,2345200,,2533895,
Income of individuals in 2015,  Without after-tax income,,275,,95,,175,,246350,,117700,,128650,
Income of individuals in 2015,  With after-tax income,,16665,,8620,,8045,,4632740,,2227495,,2405245,
Income of individuals in 2015,  Percentage with after-tax income,,98.4,,98.9,,97.9,,95,,95,,94.9,
Income of individuals in 2015,    Under $10;000 (including loss),,1905,,895,,1005,,830700,,373605,,457095,
Income of individuals in 2015,    $10;000 to $19;999,,1440,,645,,795,,856665,,364095,,492575,
Income of individuals in 2015,    $20;000 to $29;999,,1330,,640,,695,,673015,,294190,,378830,
Income of individuals in 2015,    $30;000 to $39;999,,1625,,745,,885,,552905,,254030,,298870,
Income of individuals in 2015,    $40;000 to $49;999,,1815,,845,,970,,472370,,226445,,245925,
Income of individuals in 2015,    $50;000 to $59;999,,1945,,930,,1015,,348665,,180280,,168385,
Income of individuals in 2015,    $60;000 to $69;999,,1720,,885,,830,,256270,,141835,,114435,
Income of individuals in 2015,    $70;000 to $79;999,,1310,,710,,605,,198170,,109175,,88995,
Income of individuals in 2015,    $80;000 and over,,3575,,2330,,1245,,443970,,283840,,160130,
Income of individuals in 2015,      $80;000 to $89;999,,865,,510,,360,,132515,,76100,,56410,
Income of individuals in 2015,      $90;000 to $99;999,,625,,380,,245,,79285,,49680,,29605,
Income of individuals in 2015,      $100;000 and over,,2085,,1440,,645,,232170,,158060,,74115,
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,33,16940,,8715,,8220,,4879095,,2345200,,2533895,
Income of individuals in 2015,  Without employment income,,1905,,920,,980,,1424510,,593940,,830565,
Income of individuals in 2015,  With employment income,,15035,,7795,,7235,,3454590,,1751260,,1703330,
Income of individuals in 2015,  Percentage with employment income,,88.8,,89.4,,88,,70.8,,74.7,,67.2,
Income of individuals in 2015,    Under $5;000 (including loss),,815,,355,,460,,432990,,203395,,229595,
Income of individuals in 2015,    $5;000 to $9;999,,585,,285,,295,,286225,,129320,,156910,
Income of individuals in 2015,    $10;000 to $19;999,,1185,,525,,660,,470970,,221325,,249645,
Income of individuals in 2015,    $20;000 to $29;999,,1035,,490,,540,,371235,,170795,,200440,
Income of individuals in 2015,    $30;000 to $39;999,,1140,,550,,595,,336685,,157540,,179150,
Income of individuals in 2015,    $40;000 to $49;999,,1215,,550,,665,,310550,,147370,,163180,
Income of individuals in 2015,    $50;000 to $59;999,,1255,,590,,665,,255620,,129510,,126105,
Income of individuals in 2015,    $60;000 to $69;999,,1380,,690,,695,,206215,,110510,,95705,
Income of individuals in 2015,    $70;000 to $79;999,,1215,,555,,660,,166035,,93745,,72290,
Income of individuals in 2015,    $80;000 and over,,5205,,3205,,2000,,618065,,387750,,230315,
Income of individuals in 2015,      $80;000 to $89;999,,990,,520,,470,,136480,,78255,,58230,
Income of individuals in 2015,      $90;000 to $99;999,,810,,450,,360,,121935,,65620,,56320,
Income of individuals in 2015,      $100;000 and over,,3405,,2235,,1170,,359645,,243875,,115775,
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,34,11890,,,...,,...,2135910,,,...,,...
Income of households in 2015,  Median total income of households in 2015 ($),,82950,,,...,,...,78373,,,...,,...
Income of households in 2015,  Median after-tax income of households in 2015 ($),,68348,,,...,,...,68632,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 100% data,,7275,,,...,,...,519790,,,...,,...
Income of households in 2015,      Median total income of one-person households in 2015 ($),,68884,,,...,,...,39560,,,...,,...
Income of households in 2015,      Median after-tax income of one-person households in 2015 ($),,57463,,,...,,...,35294,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,,4615,,,...,,...,1616120,,,...,,...
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),,116821,,,...,,...,94463,,,...,,...
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),,97948,,,...,,...,82594,,,...,,...
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,35,11890,,,...,,...,2135910,,,...,,...
Income of households in 2015,  Average total income of households in 2015 ($),,111699,,,...,,...,109480,,,...,,...
Income of households in 2015,  Average after-tax income of households in 2015 ($),,83822,,,...,,...,87993,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,,7280,,,...,,...,519930,,,...,,...
Income of households in 2015,      Average total income of one-person households in 2015 ($),,84716,,,...,,...,55833,,,...,,...
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),,63317,,,...,,...,44755,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,,4615,,,...,,...,1615980,,,...,,...
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),,154259,,,...,,...,126740,,,...,,...
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,116162,,,...,,...,101904,,,...,,...
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,36,11890,,,...,,...,2135910,,,...,,...
Income of households in 2015,  Under $5;000,,555,,,...,,...,47170,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,295,,,...,,...,32275,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,290,,,...,,...,50900,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,300,,,...,,...,75725,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,300,,,...,,...,73110,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,285,,,...,,...,74910,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,295,,,...,,...,76830,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,305,,,...,,...,78800,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,330,,,...,,...,78620,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,345,,,...,,...,77375,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,705,,,...,,...,150140,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,855,,,...,,...,141320,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,845,,,...,,...,131390,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,760,,,...,,...,122205,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,710,,,...,,...,113055,,,...,,...
Income of households in 2015,  $100;000 and over,,4715,,,...,,...,812085,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,1370,,,...,,...,229055,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,920,,,...,,...,167755,,,...,,...
Income of households in 2015,    $150;000 to $199;999,,1060,,,...,,...,200605,,,...,,...
Income of households in 2015,    $200;000 and over,,1355,,,...,,...,214660,,,...,,...
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,32,11890,,,...,,...,2135905,,,...,,...
Income of households in 2015,  Under $5;000,,575,,,...,,...,49905,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,295,,,...,,...,32655,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,300,,,...,,...,51760,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,330,,,...,,...,78605,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,335,,,...,,...,80190,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,340,,,...,,...,82520,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,345,,,...,,...,87360,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,425,,,...,,...,92550,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,445,,,...,,...,95185,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,485,,,...,,...,93510,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,1100,,,...,,...,179885,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,1155,,,...,,...,165340,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,1015,,,...,,...,153020,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,760,,,...,,...,136810,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,690,,,...,,...,118465,,,...,,...
Income of households in 2015,  $100;000 and over,,3290,,,...,,...,638165,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,1195,,,...,,...,229315,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,740,,,...,,...,149930,,,...,,...
Income of households in 2015,    $150;000 and over,,1360,,,...,,...,258915,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,37,3575,,,...,,...,1557640,,,...,,...
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,123136,,,...,,...,94132,,,...,,...
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,102459,,,...,,...,82232,,,...,,...
Income of economic families in 2015,  Average family size of economic families,,2.2,,,...,,...,3.3,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,2660,,,...,,...,423565,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,129741,,,...,,...,85201,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,107200,,,...,,...,73904,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2,,,...,,...,2,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,500,,,...,,...,822810,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,127573,,,...,,...,114050,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,104640,,,...,,...,98699,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families with children,,3.4,,,...,,...,4.1,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,205,,,...,,...,257415,,,...,,...
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,64384,,,...,,...,57120,,,...,,...
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,55424,,,...,,...,52715,,,...,,...
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.3,,,...,,...,2.7,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,38,3550,,,...,,...,1556795,,,...,,...
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,165172,,,...,,...,127226,,,...,,...
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,121991,,,...,,...,102021,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,2645,,,...,,...,423700,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,164225,,,...,,...,120527,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,121950,,,...,,...,94618,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,495,,,...,,...,823190,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,241507,,,...,,...,148914,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,168443,,,...,,...,118944,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,210,,,...,,...,255745,,,...,,...
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,70242,,,...,,...,73609,,,...,,...
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,57772,,,...,,...,62869,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,21,9510,,4980,,4535,,747115,,353075,,394040,
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),39,62924,,66944,,59104,,32613,,33636,,31818,
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39,52842,,55739,,49903,,29868,,30519,,29362,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,40,9545,,4975,,4570,,745705,,351920,,393790,
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),41,77760,,85257,,69602,,47973,,50595,,45630,
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),41,59081,,63301,,54489,,39048,,40380,,37857,
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,42,17415,,8975,,8440,,5862855,,2849955,,3012895,
Income of economic families in 2015,  In the bottom half of the distribution,,5830,,2840,,2990,,2813285,,1338400,,1474885,
Income of economic families in 2015,    In the bottom decile,,2340,,1140,,1195,,652620,,315260,,337360,
Income of economic families in 2015,    In the second decile,,895,,420,,475,,583750,,269305,,314445,
Income of economic families in 2015,    In the third decile,,760,,395,,365,,539335,,254260,,285075,
Income of economic families in 2015,    In the fourth decile,,865,,405,,460,,518440,,248375,,270065,
Income of economic families in 2015,    In the fifth decile,,975,,475,,495,,519140,,251205,,267935,
Income of economic families in 2015,  In the top half of the distribution,,11590,,6140,,5450,,3049570,,1511555,,1538015,
Income of economic families in 2015,    In the sixth decile,,1135,,535,,600,,528520,,256980,,271540,
Income of economic families in 2015,    In the seventh decile,,1465,,735,,735,,546775,,267890,,278885,
Income of economic families in 2015,    In the eighth decile,,1900,,915,,985,,580185,,286725,,293460,
Income of economic families in 2015,    In the ninth decile,,2490,,1320,,1165,,639880,,318340,,321540,
Income of economic families in 2015,    In the top decile,,4600,,2635,,1960,,754210,,381625,,372590,
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,43,17415,,8975,,8445,,5862595,,2849835,,3012760,
Low income in 2015,  0 to 17 years,,530,,290,,240,,1195910,,614060,,581850,
Low income in 2015,    0 to 5 years,,375,,200,,170,,374440,,191880,,182555,
Low income in 2015,  18 to 64 years,,16390,,8420,,7970,,3851275,,1866775,,1984495,
Low income in 2015,  65 years and over,,495,,265,,235,,815415,,369005,,446405,
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,2560,,1240,,1320,,912405,,430210,,482200,
Low income in 2015,  0 to 17 years,,105,,50,,55,,235120,,121220,,113905,
Low income in 2015,    0 to 5 years,,50,,20,,30,,75855,,39055,,36795,
Low income in 2015,  18 to 64 years,,2355,,1140,,1215,,565145,,264585,,300560,
Low income in 2015,  65 years and over,,95,,50,,45,,112140,,44405,,67735,
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,14.7,,13.8,,15.6,,15.6,,15.1,,16,
Low income in 2015,  0 to 17 years (%),,19.8,,17.2,,22.9,,19.7,,19.7,,19.6,
Low income in 2015,    0 to 5 years (%),,13.3,,10,,17.6,,20.3,,20.4,,20.2,
Low income in 2015,  18 to 64 years (%),,14.4,,13.5,,15.2,,14.7,,14.2,,15.1,
Low income in 2015,  65 years and over (%),,19.2,,18.9,,19.1,,13.8,,12,,15.2,
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,2520,,1225,,1300,,749935,,359355,,390585,
Low income in 2015,  0 to 17 years,,95,,40,,55,,178525,,91985,,86540,
Low income in 2015,    0 to 5 years,,50,,15,,30,,58105,,29855,,28245,
Low income in 2015,  18 to 64 years,,2370,,1150,,1220,,499350,,239960,,259390,
Low income in 2015,  65 years and over,,55,,30,,30,,72065,,27410,,44660,
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,14.5,,13.6,,15.4,,12.8,,12.6,,13,
Low income in 2015,  0 to 17 years (%),,17.9,,13.8,,22.9,,14.9,,15,,14.9,
Low income in 2015,    0 to 5 years (%),,13.3,,7.5,,17.6,,15.5,,15.6,,15.5,
Low income in 2015,  18 to 64 years (%),,14.5,,13.7,,15.3,,13,,12.9,,13.1,
Low income in 2015,  65 years and over (%),,11.1,,11.3,,12.8,,8.8,,7.4,,10,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,44,17415,,8975,,8440,,5862855,,2849990,,3012865,
Knowledge of languages,  Official languages,,17295,,8925,,8370,,5605085,,2747700,,2857380,
Knowledge of languages,    English,,17290,,8930,,8360,,5600485,,2745820,,2854665,
Knowledge of languages,    French,,2920,,1355,,1570,,466820,,200835,,265990,
Knowledge of languages,  Non-official languages,,6995,,3345,,3650,,3115825,,1485485,,1630340,
Knowledge of languages,    Aboriginal languages,,0,,0,,0,,1105,,450,,655,
Knowledge of languages,      Algonquian languages,,0,,0,,0,,940,,395,,545,
Knowledge of languages,        Blackfoot,,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Cree-Montagnais languages,,0,,0,,0,,190,,90,,95,
Knowledge of languages,          Atikamekw,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Montagnais (Innu),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Moose Cree,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Naskapi,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Northern East Cree,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Plains Cree,,0,,0,,0,,50,,30,,20,
Knowledge of languages,          Southern East Cree,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Swampy Cree,,0,,0,,0,,30,,10,,15,
Knowledge of languages,          Woods Cree,,0,,0,,0,,15,,10,,0,
Knowledge of languages,          Cree; n.o.s.,,0,,0,,0,,100,,45,,55,
Knowledge of languages,        Eastern Algonquian languages,,0,,0,,0,,45,,20,,25,
Knowledge of languages,          Malecite,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Mi'kmaq,,0,,0,,0,,45,,25,,25,
Knowledge of languages,        Ojibway-Potawatomi languages,,0,,0,,0,,705,,280,,425,
Knowledge of languages,          Algonquin,,0,,0,,0,,15,,10,,10,
Knowledge of languages,          Ojibway,,0,,0,,0,,675,,270,,405,
Knowledge of languages,          Oji-Cree,,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Ottawa (Odawa),,0,,0,,0,,20,,10,,0,
Knowledge of languages,        Algonquian languages; n.i.e.,,0,,0,,0,,0,,0,,10,
Knowledge of languages,      Athabaskan languages,,0,,0,,0,,15,,0,,10,
Knowledge of languages,        Northern Athabaskan languages,,0,,0,,0,,10,,10,,10,
Knowledge of languages,          Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Beaver,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Carrier,,0,,0,,0,,0,,0,,0,
